liga,temporada,time_casa,time_fora,gols_casa,gols_fora,data_jogo
Brasileirao Serie A,2024,Internacional,Bahia,2,1,2024-04-13
Brasileirao Serie A,2024,Criciuma,Juventude,1,1,2024-04-13
Brasileirao Serie A,2024,Fluminense,RB Bragantino,2,2,2024-04-14
Brasileirao Serie A,2024,São Paulo,Fortaleza EC,1,2,2024-04-14
Brasileirao Serie A,2024,Corinthians,Atletico Mineiro,0,0,2024-04-14
Brasileirao Serie A,2024,Vasco da Gama,Gremio,2,1,2024-04-14
Brasileirao Serie A,2024,Atletico Paranaense,Cuiaba,4,0,2024-04-14
Brasileirao Serie A,2024,Atletico Goianiense,Flamengo,1,2,2024-04-14
Brasileirao Serie A,2024,Cruzeiro,Botafogo,3,2,2024-04-14
Brasileirao Serie A,2024,Vitoria,Palmeiras,0,1,2024-04-14
Brasileirao Serie A,2024,Bahia,Fluminense,2,1,2024-04-17
Brasileirao Serie A,2024,Gremio,Atletico Paranaense,2,0,2024-04-17
Brasileirao Serie A,2024,RB Bragantino,Vasco da Gama,2,1,2024-04-17
Brasileirao Serie A,2024,Palmeiras,Internacional,0,1,2024-04-17
Brasileirao Serie A,2024,Juventude,Corinthians,2,0,2024-04-17
Brasileirao Serie A,2024,Fortaleza EC,Cruzeiro,1,1,2024-04-17
Brasileirao Serie A,2024,Atletico Mineiro,Criciuma,1,1,2024-04-17
Brasileirao Serie A,2024,Flamengo,São Paulo,2,1,2024-04-18
Brasileirao Serie A,2024,Botafogo,Atletico Goianiense,1,0,2024-04-19
Brasileirao Serie A,2024,Fluminense,Vasco da Gama,2,1,2024-04-20
Brasileirao Serie A,2024,Gremio,Cuiaba,1,0,2024-04-20
Brasileirao Serie A,2024,RB Bragantino,Corinthians,1,0,2024-04-20
Brasileirao Serie A,2024,Atletico Mineiro,Cruzeiro,3,0,2024-04-21
Brasileirao Serie A,2024,Palmeiras,Flamengo,0,0,2024-04-21
Brasileirao Serie A,2024,Atletico Paranaense,Internacional,1,0,2024-04-21
Brasileirao Serie A,2024,Vitoria,Bahia,2,2,2024-04-21
Brasileirao Serie A,2024,Botafogo,Juventude,5,1,2024-04-21
Brasileirao Serie A,2024,Atletico Goianiense,São Paulo,0,3,2024-04-21
Brasileirao Serie A,2024,Vasco da Gama,Criciuma,0,4,2024-04-27
Brasileirao Serie A,2024,Cuiaba,Atletico Mineiro,0,3,2024-04-27
Brasileirao Serie A,2024,Bahia,Gremio,1,0,2024-04-28
Brasileirao Serie A,2024,Flamengo,Botafogo,0,2,2024-04-28
Brasileirao Serie A,2024,Corinthians,Fluminense,3,0,2024-04-28
Brasileirao Serie A,2024,Cruzeiro,Vitoria,3,1,2024-04-28
Brasileirao Serie A,2024,Juventude,Atletico Paranaense,1,1,2024-04-28
Brasileirao Serie A,2024,Fortaleza EC,RB Bragantino,1,1,2024-04-28
Brasileirao Serie A,2024,Internacional,Atletico Goianiense,1,1,2024-04-28
Brasileirao Serie A,2024,São Paulo,Palmeiras,0,0,2024-04-29
Brasileirao Serie A,2024,Fluminense,Atletico Mineiro,2,2,2024-05-04
Brasileirao Serie A,2024,RB Bragantino,Flamengo,1,1,2024-05-04
Brasileirao Serie A,2024,Corinthians,Fortaleza EC,0,0,2024-05-05
Brasileirao Serie A,2024,Atletico Paranaense,Vasco da Gama,1,0,2024-05-05
Brasileirao Serie A,2024,Vitoria,São Paulo,1,3,2024-05-05
Brasileirao Serie A,2024,Botafogo,Bahia,1,2,2024-05-05
Brasileirao Serie A,2024,Cuiaba,Palmeiras,0,2,2024-05-05
Brasileirao Serie A,2024,Flamengo,Corinthians,2,0,2024-05-11
Brasileirao Serie A,2024,Palmeiras,Atletico Paranaense,0,2,2024-05-12
Brasileirao Serie A,2024,Atletico Goianiense,Cruzeiro,0,1,2024-05-12
Brasileirao Serie A,2024,Fortaleza EC,Botafogo,1,1,2024-05-12
Brasileirao Serie A,2024,Bahia,RB Bragantino,1,0,2024-05-12
Brasileirao Serie A,2024,Vasco da Gama,Vitoria,2,1,2024-05-12
Brasileirao Serie A,2024,São Paulo,Fluminense,2,1,2024-05-13
Brasileirao Serie A,2024,Gremio,RB Bragantino,0,2,2024-06-01
Brasileirao Serie A,2024,Vitoria,Atletico Goianiense,0,2,2024-06-01
Brasileirao Serie A,2024,Fluminense,Juventude,1,1,2024-06-01
Brasileirao Serie A,2024,Cuiaba,Internacional,0,1,2024-06-01
Brasileirao Serie A,2024,Corinthians,Botafogo,0,1,2024-06-02
