liga,temporada,time_casa,time_fora,gols_casa,gols_fora,data_jogo,odd_pinn_casa,odd_pinn_empate,odd_pinn_fora,odd_b365_casa,odd_b365_empate,odd_b365_fora
Bundesliga,2526,Bayern Munich,RB Leipzig,6,0,2025-08-22,1.23,7.43,10.85,1.22,7.0,9.0
Bundesliga,2526,Ein Frankfurt,Werder Bremen,4,1,2025-08-23,1.7,4.26,4.68,1.7,4.1,4.5
Bundesliga,2526,Freiburg,Augsburg,1,3,2025-08-23,1.87,3.71,4.33,1.85,3.6,4.33
Bundesliga,2526,Heidenheim,Wolfsburg,1,3,2025-08-23,3.19,3.59,2.26,3.2,3.5,2.2
Bundesliga,2526,Leverkusen,Hoffenheim,1,2,2025-08-23,1.56,4.74,5.46,1.53,4.75,5.25
Bundesliga,2526,Union Berlin,Stuttgart,2,1,2025-08-23,3.56,3.69,2.07,3.4,3.7,2.05
Bundesliga,2526,St Pauli,Dortmund,3,3,2025-08-23,4.82,3.79,1.77,4.5,3.9,1.75
Bundesliga,2526,Mainz,FC Koln,0,1,2025-08-24,1.93,3.7,4.07,1.9,3.7,4.0
Bundesliga,2526,M'gladbach,Hamburg,0,0,2025-08-24,1.86,4.06,3.96,1.85,3.9,3.9
Bundesliga,2526,Hamburg,St Pauli,0,2,2025-08-29,2.45,3.29,3.12,2.4,3.3,3.0
Bundesliga,2526,Hoffenheim,Ein Frankfurt,1,3,2025-08-30,2.95,3.84,2.3,2.88,3.75,2.25
Bundesliga,2526,RB Leipzig,Heidenheim,2,0,2025-08-30,1.45,5.17,6.4,1.44,5.0,6.25
Bundesliga,2526,Stuttgart,M'gladbach,1,0,2025-08-30,1.62,4.59,4.97,1.6,4.5,4.75
Bundesliga,2526,Werder Bremen,Leverkusen,3,3,2025-08-30,3.82,3.87,1.94,3.7,3.8,1.91
Bundesliga,2526,Augsburg,Bayern Munich,2,3,2025-08-30,9.88,6.53,1.27,9.0,6.5,1.27
Bundesliga,2526,Wolfsburg,Mainz,1,1,2025-08-31,2.08,3.68,3.54,2.0,3.6,3.5
Bundesliga,2526,Dortmund,Union Berlin,3,0,2025-08-31,1.4,5.3,7.28,1.4,5.25,6.5
Bundesliga,2526,FC Koln,Freiburg,4,1,2025-08-31,2.66,3.38,2.77,2.55,3.3,2.8
Bundesliga,2526,Leverkusen,Ein Frankfurt,3,1,2025-09-12,2.16,3.83,3.29,2.1,3.8,3.2
Bundesliga,2526,Freiburg,Stuttgart,3,1,2025-09-13,2.92,3.64,2.41,2.9,3.6,2.35
Bundesliga,2526,Heidenheim,Dortmund,0,2,2025-09-13,5.53,4.66,1.56,5.5,4.5,1.55
Bundesliga,2526,Mainz,RB Leipzig,0,1,2025-09-13,2.6,3.7,2.64,2.55,3.6,2.63
