liga,temporada,time_casa,time_fora,gols_casa,gols_fora,data_jogo,odd_pinn_casa,odd_pinn_empate,odd_pinn_fora,odd_b365_casa,odd_b365_empate,odd_b365_fora
Serie A,2526,Genoa,Lecce,0,0,2025-08-23,1.93,3.43,4.47,1.9,3.3,4.5
Serie A,2526,Sassuolo,Napoli,0,2,2025-08-23,6.35,3.93,1.6,6.0,4.0,1.57
Serie A,2526,Milan,Cremonese,1,2,2025-08-23,1.36,5.42,8.57,1.33,5.25,9.0
Serie A,2526,Roma,Bologna,1,0,2025-08-23,2.13,3.32,3.79,2.1,3.3,3.5
Serie A,2526,Cagliari,Fiorentina,1,1,2025-08-24,3.38,3.32,2.29,3.25,3.3,2.25
Serie A,2526,Como,Lazio,2,0,2025-08-24,2.49,3.37,3.0,2.4,3.25,3.0
Serie A,2526,Atalanta,Pisa,1,1,2025-08-24,1.42,4.94,7.54,1.4,5.0,7.0
Serie A,2526,Juventus,Parma,2,0,2025-08-24,1.43,4.8,7.58,1.42,4.75,7.5
Serie A,2526,Udinese,Verona,1,1,2025-08-25,1.98,3.46,4.17,1.95,3.3,4.1
Serie A,2526,Inter,Torino,5,0,2025-08-25,1.44,4.83,7.32,1.42,4.75,7.5
Serie A,2526,Cremonese,Sassuolo,3,2,2025-08-29,2.66,3.25,2.9,2.6,3.2,2.75
Serie A,2526,Lecce,Milan,0,2,2025-08-29,6.32,3.93,1.62,6.0,3.9,1.57
Serie A,2526,Bologna,Como,1,0,2025-08-30,2.53,3.13,3.14,2.45,3.1,3.1
Serie A,2526,Parma,Atalanta,1,1,2025-08-30,3.99,3.57,1.98,4.1,3.5,1.91
Serie A,2526,Napoli,Cagliari,1,0,2025-08-30,1.32,5.39,10.32,1.3,5.0,11.0
Serie A,2526,Pisa,Roma,0,1,2025-08-30,5.15,3.76,1.74,5.25,3.6,1.7
Serie A,2526,Genoa,Juventus,0,1,2025-08-31,4.51,3.48,1.9,4.5,3.4,1.85
Serie A,2526,Torino,Fiorentina,0,0,2025-08-31,3.21,3.16,2.47,3.2,3.1,2.4
Serie A,2526,Inter,Udinese,1,2,2025-08-31,1.32,5.63,9.47,1.3,5.25,9.5
Serie A,2526,Lazio,Verona,4,0,2025-08-31,1.48,4.47,7.12,1.48,4.33,7.0
