liga,temporada,time_casa,time_fora,gols_casa,gols_fora,data_jogo,odd_pinn_casa,odd_pinn_empate,odd_pinn_fora,odd_b365_casa,odd_b365_empate,odd_b365_fora
La Liga,2526,Girona,Vallecano,1,3,2025-08-15,2.3,3.3,3.45,2.25,3.25,3.3
La Liga,2526,Villarreal,Oviedo,2,0,2025-08-15,1.41,4.76,8.8,1.4,4.75,8.0
La Liga,2526,Mallorca,Barcelona,0,3,2025-08-16,6.68,5.03,1.45,7.0,5.0,1.4
La Liga,2526,Alaves,Levante,2,1,2025-08-16,2.18,3.18,3.84,2.15,3.0,3.8
La Liga,2526,Valencia,Sociedad,1,1,2025-08-16,2.65,2.89,3.23,2.6,2.9,3.1
La Liga,2526,Celta,Getafe,0,2,2025-08-17,1.76,3.43,5.71,1.73,3.5,5.25
La Liga,2526,Ath Bilbao,Sevilla,3,2,2025-08-17,1.6,4.05,6.12,1.57,3.9,6.0
La Liga,2526,Espanol,Ath Madrid,2,1,2025-08-17,6.57,3.86,1.6,6.0,3.9,1.57
La Liga,2526,Elche,Betis,1,1,2025-08-18,3.45,3.43,2.21,3.4,3.3,2.2
La Liga,2526,Real Madrid,Osasuna,1,0,2025-08-19,1.23,6.99,12.34,1.22,6.25,13.0
La Liga,2526,Betis,Alaves,1,0,2025-08-22,1.92,3.45,4.6,1.91,3.4,4.2
La Liga,2526,Mallorca,Celta,1,1,2025-08-23,3.06,3.1,2.6,3.0,3.1,2.55
La Liga,2526,Ath Madrid,Elche,1,1,2025-08-23,1.24,6.28,12.89,1.25,5.25,15.0
La Liga,2526,Levante,Barcelona,2,3,2025-08-23,9.49,6.51,1.27,11.0,6.0,1.25
La Liga,2526,Osasuna,Valencia,1,0,2025-08-24,2.43,3.16,3.27,2.4,3.2,3.1
La Liga,2526,Sociedad,Espanol,2,2,2025-08-24,1.83,3.49,4.91,1.8,3.4,5.0
La Liga,2526,Villarreal,Girona,5,0,2025-08-24,1.53,4.69,5.77,1.53,4.33,6.0
La Liga,2526,Oviedo,Real Madrid,0,3,2025-08-24,10.02,5.5,1.32,9.5,5.5,1.3
La Liga,2526,Ath Bilbao,Vallecano,1,0,2025-08-25,1.71,3.68,5.56,1.7,3.5,5.5
La Liga,2526,Sevilla,Getafe,1,2,2025-08-25,2.24,3.12,3.75,2.25,3.0,3.6
La Liga,2526,Celta,Betis,1,1,2025-08-27,2.21,3.6,3.3,2.2,3.4,3.25
La Liga,2526,Elche,Levante,2,0,2025-08-29,2.23,3.26,3.66,2.15,3.25,3.5
La Liga,2526,Valencia,Getafe,3,0,2025-08-29,2.29,3.06,3.78,2.3,2.9,3.6
La Liga,2526,Alaves,Ath Madrid,1,1,2025-08-30,4.77,3.61,1.82,4.75,3.5,1.8
La Liga,2526,Oviedo,Sociedad,1,0,2025-08-30,3.56,3.12,2.32,3.5,3.1,2.25
La Liga,2526,Girona,Sevilla,0,2,2025-08-30,2.49,3.27,3.07,2.4,3.3,3.0
La Liga,2526,Real Madrid,Mallorca,2,1,2025-08-30,1.21,7.16,12.71,1.18,7.0,15.0
La Liga,2526,Celta,Villarreal,1,1,2025-08-31,2.76,3.64,2.52,2.75,3.5,2.5
La Liga,2526,Betis,Ath Bilbao,1,2,2025-08-31,3.07,3.15,2.56,3.0,3.1,2.55
La Liga,2526,Espanol,Osasuna,1,0,2025-08-31,2.43,3.21,3.23,2.38,3.2,3.1
La Liga,2526,Vallecano,Barcelona,1,1,2025-08-31,6.92,5.34,1.41,6.25,5.5,1.4
La Liga,2526,Sevilla,Elche,2,2,2025-09-12,1.88,3.48,4.76,1.85,3.4,4.5
La Liga,2526,Getafe,Oviedo,2,0,2025-09-13,2.0,3.05,4.81,1.95,3.1,4.5
La Liga,2526,Sociedad,Real Madrid,1,2,2025-09-13,5.3,4.43,1.61,5.0,4.33,1.6
La Liga,2526,Ath Bilbao,Alaves,0,1,2025-09-13,1.61,3.86,6.3,1.6,3.9,5.75
La Liga,2526,Ath Madrid,Villarreal,2,0,2025-09-13,1.86,3.62,4.51,1.8,3.7,4.33
La Liga,2526,Celta,Girona,1,1,2025-09-14,1.71,4.22,4.67,1.73,3.9,4.75
La Liga,2526,Levante,Betis,2,2,2025-09-14,3.4,3.48,2.21,3.25,3.25,2.3
La Liga,2526,Osasuna,Vallecano,2,0,2025-09-14,2.54,3.18,3.08,2.55,3.2,2.9
La Liga,2526,Barcelona,Valencia,6,0,2025-09-14,1.23,6.92,11.31,1.22,7.0,11.0
La Liga,2526,Espanol,Mallorca,3,2,2025-09-15,2.28,3.23,3.51,2.1,3.4,3.5
La Liga,2526,Betis,Sociedad,3,1,2025-09-19,1.93,3.73,3.98,1.91,3.6,3.75
La Liga,2526,Girona,Levante,0,4,2025-09-20,1.91,3.76,4.09,1.91,3.6,4.0
La Liga,2526,Real Madrid,Espanol,2,0,2025-09-20,1.22,6.36,15.46,1.2,7.0,13.0
La Liga,2526,Alaves,Sevilla,1,2,2025-09-20,2.31,3.23,3.44,2.25,3.1,3.5
La Liga,2526,Villarreal,Osasuna,2,1,2025-09-20,1.56,4.39,5.87,1.55,4.33,5.5
La Liga,2526,Valencia,Ath Bilbao,2,0,2025-09-20,3.16,3.08,2.55,3.0,3.0,2.55
La Liga,2526,Vallecano,Celta,1,1,2025-09-21,2.33,3.31,3.3,2.3,3.3,3.2
La Liga,2526,Mallorca,Ath Madrid,1,1,2025-09-21,5.05,3.69,1.76,5.0,3.6,1.75
La Liga,2526,Elche,Oviedo,1,0,2025-09-21,1.96,3.3,4.51,1.91,3.2,4.5
La Liga,2526,Barcelona,Getafe,3,0,2025-09-21,1.23,6.19,14.4,1.22,6.5,12.0
La Liga,2526,Ath Bilbao,Girona,1,1,2025-09-23,1.45,4.56,7.8,1.45,4.33,7.0
La Liga,2526,Espanol,Valencia,2,2,2025-09-23,2.34,3.22,3.39,2.25,3.1,3.4
La Liga,2526,Levante,Real Madrid,1,4,2025-09-23,8.61,5.91,1.33,7.5,5.75,1.33
La Liga,2526,Sevilla,Villarreal,1,2,2025-09-23,3.19,3.39,2.35,3.1,3.4,2.3
La Liga,2526,Getafe,Alaves,1,1,2025-09-24,2.36,2.91,3.77,2.3,2.9,3.6
La Liga,2526,Ath Madrid,Vallecano,3,2,2025-09-24,1.5,4.51,6.63,1.5,4.5,6.0
La Liga,2526,Sociedad,Mallorca,1,0,2025-09-24,1.84,3.53,4.79,1.8,3.4,4.75
La Liga,2526,Osasuna,Elche,1,1,2025-09-25,2.05,3.09,4.48,1.95,3.25,4.33
La Liga,2526,Oviedo,Barcelona,1,3,2025-09-25,9.41,6.99,1.26,10.0,5.75,1.25
La Liga,2526,Girona,Espanol,0,0,2025-09-26,2.53,3.36,2.98,2.45,3.3,2.88
La Liga,2526,Getafe,Levante,1,1,2025-09-27,2.1,3.22,4.05,2.05,3.1,4.1
La Liga,2526,Ath Madrid,Real Madrid,5,2,2025-09-27,3.02,3.62,2.35,3.0,3.6,2.3
La Liga,2526,Mallorca,Alaves,1,0,2025-09-27,2.42,3.03,3.45,2.35,3.0,3.4
La Liga,2526,Villarreal,Ath Bilbao,1,0,2025-09-27,2.11,3.33,3.86,2.1,3.25,3.7
La Liga,2526,Vallecano,Sevilla,0,1,2025-09-28,2.04,3.39,4.02,2.0,3.3,4.0
La Liga,2526,Elche,Celta,2,1,2025-09-28,2.89,3.2,2.68,2.88,3.1,2.6
La Liga,2526,Barcelona,Sociedad,2,1,2025-09-28,1.29,5.34,12.23,1.27,5.75,10.0
La Liga,2526,Betis,Osasuna,2,0,2025-09-28,1.8,3.85,4.54,1.75,3.8,4.5
La Liga,2526,Valencia,Oviedo,1,2,2025-09-30,1.75,3.79,5.0,1.7,3.5,5.5
La Liga,2526,Osasuna,Getafe,2,1,2025-10-03,2.16,2.94,4.31,2.15,2.9,4.1
La Liga,2526,Oviedo,Levante,0,2,2025-10-04,2.56,3.34,2.92,2.5,3.3,2.88
