[ARQUIVO] buscar_liga_europa.py | [LINHA] 15 | [REMOVIDO] — | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 165 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 177 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 177 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 281 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 363 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 363 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 450 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 504 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 504 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 504 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 504 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 632 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 918 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 919 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrar_modelo.py | [LINHA] 920 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] calibrate.py | [LINHA] 21 | [REMOVIDO] í | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] dashboard.py | [LINHA] 236 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] debug_hoje.py | [LINHA] 46 | [REMOVIDO] — | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] main.py | [LINHA] 61 | [REMOVIDO] ✅ | [SUBSTITUIDO POR] [OK]
[ARQUIVO] main.py | [LINHA] 64 | [REMOVIDO] ❌ | [SUBSTITUIDO POR] [ERRO]
[ARQUIVO] scheduler.py | [LINHA] 47 | [REMOVIDO] í | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 49 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 49 | [REMOVIDO] á | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 52 | [REMOVIDO] ó | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 52 | [REMOVIDO] á | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 211 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 211 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 211 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 212 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 212 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 213 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 213 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 213 | [REMOVIDO] ê | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 214 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 214 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 215 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 215 | [REMOVIDO] ã | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 215 | [REMOVIDO] ê | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 264 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 562 | [REMOVIDO] í | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 1302 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 1471 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 1862 | [REMOVIDO] á | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 1973 | [REMOVIDO] í | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2141 | [REMOVIDO] ✅ | [SUBSTITUIDO POR] [OK]
[ARQUIVO] scheduler.py | [LINHA] 2141 | [REMOVIDO] ⚠ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2141 | [REMOVIDO] ️ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2147 | [REMOVIDO] í | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2147 | [REMOVIDO] ç | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2147 | [REMOVIDO] õ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2299 | [REMOVIDO] ✅ | [SUBSTITUIDO POR] [OK]
[ARQUIVO] scheduler.py | [LINHA] 2299 | [REMOVIDO] ⚠ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2299 | [REMOVIDO] ️ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2370 | [REMOVIDO] é | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] █ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▀ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] █ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] █ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▀ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▀ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▀ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] █ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▄ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] █ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] ▀ | [SUBSTITUIDO POR] <REMOVIDO>
[ARQUIVO] scheduler.py | [LINHA] 2448 | [REMOVIDO] █ | [SUBSTITUIDO POR] <REMOVIDO>
