[picks_log.sync] sinal_id=68 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=72 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=69 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=70 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=71 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=73 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=74 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=75 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=76 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=77 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=79 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=80 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=81 sem match, backfill adicionado no CSV
[picks_log.sync] sinal_id=82 sem match, backfill adicionado no CSV
